result_id,player_id,season,date,event_type,tournament_name,teammate,points,rank,prize_money
18c9e422-ad64-4f48-afb9-335790c518a6,11c5f489-e178-440b-852c-f0f3d49362b1,2025,2025-10-15,FIVB,BPT Challenge Nuvali,Jasmine Fleming,360.0,3,900.0
8ec06efe-21fa-4c38-8b29-275b394d037b,a8a3cec8-4f94-457b-8ffc-fe8d12cd873c,2025,2025-10-15,FIVB,BPT Challenge Nuvali,Stefanie Fejes,360.0,3,900.0
ed0aae09-473f-4006-a00d-dcbc117b5d77,56e40e6c-99af-483c-9acf-e7309812d213,2025,2025-07-20,AVC,AVC Beach Tour Pingtung Open,Nur Sari,72.0,9,0.0
9afcf31a-6d6c-483d-87b5-e6a5943f33ef,47ea4b25-6c9f-4deb-be98-11b74d6b6602,2025,2025-07-20,AVC,AVC Beach Tour Pingtung Open,Desi Ratnasari,72.0,9,0.0
9c2af6ad-572d-4471-b2e1-6267e273c51b,59d921d3-d71e-42fd-a36a-7930e2c32316,2025,2025-07-20,AVC,AVC Beach Tour Pingtung Open,Bernadetta Shella Herdanti,72.0,9,0.0
65b606ef-5bb5-44ae-a39a-7d1165f36b71,94490317-600f-4416-87c5-b239fb0d4693,2025,2025-07-20,AVC,AVC Beach Tour Pingtung Open,Josephine Selvina Anasthasya Kaize,72.0,9,0.0
6404ff79-87e6-4121-8e37-b815cefdbfd1,a72180a5-1703-434d-9c25-504ecf566c12,2025,2025-04-11,FIVB,BPT Futures Songkhla,Noor Aishah Iskandar,30.0,21,0.0
2eceff59-aecf-4bd8-b6d2-18d7a018ba8a,b839ca24-736c-4f9d-965d-b85df558cc15,2025,2025-04-11,FIVB,BPT Futures Songkhla,Shamsulrizal Nur Auni Maisarah,30.0,21,0.0
a943d79b-4a5e-4a8f-bea4-9913c847b081,a72180a5-1703-434d-9c25-504ecf566c12,2025,2025-04-16,AVC,AVC Beach Tour 24th Samila Open,Noor Aishah Iskandar,24.0,25,0.0
211b37b1-7524-40e9-b79d-0da45327d0d3,b839ca24-736c-4f9d-965d-b85df558cc15,2025,2025-04-16,AVC,AVC Beach Tour 24th Samila Open,Shamsulrizal Nur Auni Maisarah,24.0,25,0.0
806552aa-4456-4cc6-b803-925a9ca027ac,a72180a5-1703-434d-9c25-504ecf566c12,2025,2025-06-22,AVC,6th Asian U21 Beach Volleyball Championships,Noor Aishah Iskandar,35.0,17,0.0
78bf9260-c843-48dc-9405-ad75e6475060,b839ca24-736c-4f9d-965d-b85df558cc15,2025,2025-06-22,AVC,6th Asian U21 Beach Volleyball Championships,Shamsulrizal Nur Auni Maisarah,35.0,17,0.0
d318f5e6-c4b5-4f67-ba11-729a3a535d27,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-05-04,FIVB,BPT Futures Nuvali,Bernadeth Pons,120.0,5,0.0
abb7de6e-2642-44a2-9188-ac38987477df,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-05-04,FIVB,BPT Futures Nuvali,Cherry Ann Rondina,120.0,5,0.0
5f271c82-440c-4630-90db-b262f5666ab6,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-06-22,FIVB,BPT Futures Qidong,Bernadeth Pons,120.0,5,0.0
2c10fa39-b979-4ded-a45f-1ea1a558f74b,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-06-22,FIVB,BPT Futures Qidong,Cherry Ann Rondina,120.0,5,0.0
f1b7fb83-ea8b-42f5-9f16-3ac938152bd8,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-08-17,FIVB,BPT Futures Busan Gwangalli,Bernadeth Pons,90.0,9,0.0
a8b88506-d638-4fd9-ac3c-f0c6f9a20027,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-08-17,FIVB,BPT Futures Busan Gwangalli,Cherry Ann Rondina,90.0,9,0.0
9ae9eb61-2166-4bc8-82bd-aa2963a24a70,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-08-24,FIVB,BPT Futures Brno,Bernadeth Pons,70.0,13,0.0
1a9e309a-a7a0-430b-bfd0-50ef34a3233f,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-08-24,FIVB,BPT Futures Brno,Cherry Ann Rondina,70.0,13,0.0
b7f1535d-6bc5-4c7e-8b41-6771104c214f,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-09-07,FIVB,BPT Futures Budapest,Bernadeth Pons,120.0,5,0.0
c4f10b0e-0e26-4b98-a62d-4e81570c136d,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-09-07,FIVB,BPT Futures Budapest,Cherry Ann Rondina,120.0,5,0.0
34d75094-dc40-4a7c-8ff5-7d8dd0b37025,3336526f-2996-4dd6-aa94-cccbeca1f887,2025,2025-10-19,FIVB,BPT Challenge Nuvali,Bernadeth Pons,170.0,17,0.0
4d0c0c63-90de-4720-a2f9-86342e413860,e94a3a34-7c5e-4f64-bc00-d69048a78921,2025,2025-10-19,FIVB,BPT Challenge Nuvali,Cherry Ann Rondina,170.0,17,0.0
ee3e5cbc-0d60-4c06-9f0c-d8bb63817553,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-05-04,FIVB,BPT Futures Nuvali,Alexa Polidario,70.0,13,0.0
aa945703-b5c5-49f0-98ec-cdb9ed0821e8,decd6f33-25ae-41db-8d28-419451e1ae29,2025,2025-05-04,FIVB,BPT Futures Nuvali,Floremel Rodriguez,70.0,13,0.0
19d97ca1-acc5-428e-ad6a-756d4bd96875,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-06-22,FIVB,BPT Futures Qidong,Sunnie Kalani Villapando,90.0,9,0.0
74b8bd46-3597-4b89-98c7-d36aa7939f77,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-06-22,FIVB,BPT Futures Qidong,Floremel Rodriguez,90.0,9,0.0
1af4cc5e-b28e-47ef-b048-d0ef126560d4,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-08-17,FIVB,BPT Futures Busan Gwangalli,Sunnie Kalani Villapando,120.0,5,0.0
4feb513c-c4a6-485e-b629-7283f4af938d,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-08-17,FIVB,BPT Futures Busan Gwangalli,Floremel Rodriguez,120.0,5,0.0
a83a6c24-82f2-42dc-9fdb-1f233fd25bfa,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-08-24,FIVB,BPT Futures Brno,Sunnie Kalani Villapando,50.0,17,0.0
da34e1c0-0565-430e-be9b-ceb6a7168f97,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-08-24,FIVB,BPT Futures Brno,Floremel Rodriguez,50.0,17,0.0
b94dea16-bfe7-4979-872a-48eb51edd449,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-09-07,FIVB,BPT Futures Budapest,Sunnie Kalani Villapando,70.0,13,0.0
f0ecdc64-9f5a-4b08-86e7-e65adbedee6f,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-09-07,FIVB,BPT Futures Budapest,Floremel Rodriguez,70.0,13,0.0
9209d133-584c-41ea-800f-0462a75b99ff,598e9136-8be8-4814-9dd6-3122eba113ed,2025,2025-10-19,FIVB,BPT Challenge Nuvali,Sunnie Kalani Villapando,110.0,25,0.0
527a4cea-f3b7-4259-a2bd-e6e307757c06,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-10-19,FIVB,BPT Challenge Nuvali,Floremel Rodriguez,110.0,25,0.0
06aca97d-e6ab-49bd-85d1-f4fee6a11a24,606cf6c4-75f8-4b80-8b93-6bfaf46cd938,2025,2025-04-05,AVC,AVC Beach Tour 2nd Nuvali Open,Jenny Gaviola,72.0,9,0.0
603618d8-3026-4328-b5d0-7bb47348c871,e196d94f-89b7-4521-abe2-29cb35ec052a,2025,2025-04-05,AVC,AVC Beach Tour 2nd Nuvali Open,Sunnie Kalani Villapando,72.0,9,0.0
